,Unnamed: 0,ID отзыва,Дата,Номенклатура,Количество звезд,Бренд,Текст отзыва,Имя,Регион,Цвет,Размер,Полезность (количество минусов),Полезность (количество плюсов),Полезность,cleaned_tweets
3341,3341,8533,14/10/2020,Артикул 2996,5,Бренд 10,"Вязать одно удовольствие! На свитер размера М ушло 4 мотка. Пряжа мягкая, шелковистая, пушистая. После стирки слегка растягивается в ширину, резинку держит слабо. Вязать лучше гладью.",Наталья,RU,изумрудно-зеленый,0,1,1,1,вязать удовольствие свитер размер м уходить  моток пряжа мягкий шелковистый пушистый стирка слегка растягиваться ширина резинка держать слабо вязать гладь
3342,3342,8534,14/10/2020,Артикул 4034,1,Бренд 10,"Пришли нитки нужного цвета, ещё не вязала. Предварительно колючая немного, думаю на шапку не пойдёт, буду вязать детскую жилетку, чтоб не на голое тело...",Виктория,RU,светло-розовый,0,1,0,-1,приходить нитка нужный цвет вязать предварительно колючий немного думать шапка пойти вязать детский жилетка голый тело 
3343,3343,8535,13/10/2020,Артикул 3167,5,Бренд 53,"Набор пришел запечатанный. Он просто шикарен.
Пакет размером почти А3. Я в предвкушении.",Мария,BY,белый,0,0,1,1,набор приходить запечатывать просто шикарный пакет размер а предвкушение
3344,3344,8548,13/10/2020,Артикул 3397,5,Бренд 24,"Пряжа классная приятно вязать, но есть некоторые петельки облезлые но не сильно заметно на изделии а так всё хорошо.",Олеся,RU,желтый,0,0,0,0,пряжа классный приятно вязать некоторый петелька облезлый сильно заметно изделие
3345,3345,8549,13/10/2020,Артикул 2178,2,Бренд 2,"Разочарована(((Пакетики с бисером целые, но не подписанные цвета, мол догадайся сам.....",Светлана,RU,,0,0,1,1,разочаровывать ((( пакетик бисер целый подписывать цвет мол догадываться 
3346,3346,8552,13/10/2020,Артикул 1048,1,Бренд 6,"Заказывала Татьяну, маме на день рождения, но пришла Маргарита",Юлия,RU,белый,0,0,0,0,заказывать татьяна мама день рождение приходить маргарита
3347,3347,8553,13/10/2020,Артикул 693,5,Бренд 61,Лучше чем ожидала! Крышки надёжно прикручиваются. Заказала ещё один набор.,Анастасия,RU,прозрачный,0,0,1,1,ожидать крышка надежно прикручиваться заказывать набор
3348,3348,8555,13/10/2020,Артикул 3217,5,Бренд 24,Цвет по факту ярко салатовый.,Ирина,RU,мятный,0,0,0,0,цвет факт ярко салатовый
3349,3349,8566,13/10/2020,Артикул 743,5,Бренд 23,"Приятные нитки ,симпатичные , как по мне - приглушенный цвет в полотне , спокойный цвет",Ирина,RU,коричневый,0,0,0,0,приятный нитка симпатичный приглушенный цвет полотно спокойный цвет
3350,3350,8571,13/10/2020,Артикул 3430,5,Бренд 18,Отличные нитки,Наталья,RU,васильковый,0,0,0,0,отличный нитка
3351,3351,8574,13/10/2020,Артикул 2657,4,Бренд 18,"Пряжа объемная, мягкая и приятная на ощупь. Но не взяла, мне надо было лимонного цвета, как на фото. Оказалась теплого желтого оттенка.",Наталья,RU,желтый,0,0,0,0,пряжа объемный мягкий приятный ощупь взять лимонный цвет фото оказываться теплый желтый оттенок
3352,3352,8575,13/10/2020,Артикул 1680,5,Бренд 22,Очень хорошая рама. Лучше любых пялец.,Татьяна,RU,,0,0,1,1,очень хороший рама хороший любой пяльцы
3353,3353,8577,12/10/2020,Артикул 2361,5,Бренд 5,"Очень красивый набор, все на месте",Полина,RU,белый,0,0,0,0,очень красивый набор место
